Bandit,Reward,Algorithm
3,3.472901220651478,Thompson Sampling
3,3.1054130318236735,Thompson Sampling
3,4.197991248991388,Thompson Sampling
3,4.671227486617256,Thompson Sampling
3,2.41738125737799,Thompson Sampling
3,3.809573659058415,Thompson Sampling
3,5.159017218851155,Thompson Sampling
3,5.004248921237686,Thompson Sampling
3,3.942194364412446,Thompson Sampling
3,4.306913437570902,Thompson Sampling
3,3.022996948197293,Thompson Sampling
3,4.743769284670983,Thompson Sampling
3,4.694151605708924,Thompson Sampling
3,4.144790680155101,Thompson Sampling
3,4.316440358215005,Thompson Sampling
3,4.4665540584615355,Thompson Sampling
3,3.3242058112881545,Thompson Sampling
3,1.7255399596265457,Thompson Sampling
3,3.855859116140238,Thompson Sampling
3,4.157942090858799,Thompson Sampling
3,5.320032248720041,Thompson Sampling
3,3.2479293772775444,Thompson Sampling
3,3.34251373043955,Thompson Sampling
3,5.833355494610899,Thompson Sampling
3,4.860128268651072,Thompson Sampling
3,2.590963770876484,Thompson Sampling
3,4.650716410799393,Thompson Sampling
3,5.406035592844418,Thompson Sampling
3,5.2699517728976595,Thompson Sampling
