Bandit,Reward,Algorithm
3,3.5688468479446764,Epsilon Greedy
3,3.6900445778443602,Epsilon Greedy
3,4.014951154418488,Epsilon Greedy
3,4.086259588795433,Epsilon Greedy
3,4.433881396406994,Epsilon Greedy
3,5.796135222434923,Epsilon Greedy
3,4.8868733756200555,Epsilon Greedy
3,3.5818579461998974,Epsilon Greedy
3,3.904789913200581,Epsilon Greedy
3,4.6384440550440935,Epsilon Greedy
3,4.73019801941661,Epsilon Greedy
3,4.980227724090775,Epsilon Greedy
3,4.309148123709867,Epsilon Greedy
3,4.3899876879765705,Epsilon Greedy
3,1.5030399440158644,Epsilon Greedy
3,4.024949802641067,Epsilon Greedy
3,6.102818109402184,Epsilon Greedy
3,4.490432540343248,Epsilon Greedy
3,3.7594769423112884,Epsilon Greedy
3,4.499062412143531,Epsilon Greedy
3,3.4583223584358525,Epsilon Greedy
3,4.635914060394644,Epsilon Greedy
3,4.494580658223268,Epsilon Greedy
3,3.1423013249686225,Epsilon Greedy
3,4.576108893866957,Epsilon Greedy
3,3.4680933791856257,Epsilon Greedy
3,3.4278677816188257,Epsilon Greedy
3,3.4585155720102136,Epsilon Greedy
3,4.2200943372887405,Epsilon Greedy
3,4.442268336910383,Epsilon Greedy
3,5.2715067343221715,Epsilon Greedy
3,3.500554487020718,Epsilon Greedy
3,3.2421744370296683,Epsilon Greedy
3,4.9909760155011496,Epsilon Greedy
3,3.9974248079353494,Epsilon Greedy
3,3.5507549381212735,Epsilon Greedy
3,4.90352479605037,Epsilon Greedy
3,3.906759552282899,Epsilon Greedy
3,3.528365715677241,Epsilon Greedy
3,4.631263767080917,Epsilon Greedy
3,3.2189532165996955,Epsilon Greedy
3,3.208253942286885,Epsilon Greedy
3,3.8659433196506954,Epsilon Greedy
3,3.7326615378287182,Epsilon Greedy
3,4.378356915526595,Epsilon Greedy
3,2.566650925399654,Epsilon Greedy
3,4.4926426601620415,Epsilon Greedy
3,5.321332830532081,Epsilon Greedy
3,5.000625454239916,Epsilon Greedy
3,3.402547429750632,Epsilon Greedy
3,5.69978453865036,Epsilon Greedy
3,3.767368892608946,Epsilon Greedy
3,3.178013207325955,Epsilon Greedy
3,6.045964323074376,Epsilon Greedy
3,3.3518206236393535,Epsilon Greedy
3,5.480629780361508,Epsilon Greedy
3,4.603577532572715,Epsilon Greedy
3,4.880537158720413,Epsilon Greedy
3,6.616064373880093,Epsilon Greedy
3,4.343301781643972,Epsilon Greedy
3,3.186282991698599,Epsilon Greedy
3,3.6835513422206394,Epsilon Greedy
3,3.7026861641736204,Epsilon Greedy
3,5.150653278309866,Epsilon Greedy
3,4.168557012278277,Epsilon Greedy
3,3.741025440237913,Epsilon Greedy
3,3.275431580039334,Epsilon Greedy
3,3.3147912697326243,Epsilon Greedy
3,3.4462730046784067,Epsilon Greedy
3,4.350235263902292,Epsilon Greedy
3,4.157801655860304,Epsilon Greedy
3,3.903728348543072,Epsilon Greedy
